customer_id,age,gender,tenure_months,total_spend_inr,num_support_tickets,last_order_days_ago,churn_status
100060,46,M,55,8635.29,1,56,ACTIVE
100061,29,Female,42,14917.07,0,41,Churned
100062,32,Male,32,68943.55,1,77,Churned
100063,21,Male,14,47590.08,2,8,Churned
100064,20,Male,18,24258.84,4,310,Active
100065,44,Female,38,28151.93,0,90,Active
100066,51,Male,34,37510.35,2,376,Active
100067,34,Male,45,50811.62,0,389,ACTIVE
100068,47,Female,32,44081.31,2,265,Active
100069,39,Male,67,70019.66,3,194,Active
100070,27,Female,63,47305.41,3,71,Active
100071,39,F,55,68398.61,1,286,Active
100072,53,Female,43,1401.83,1,337,Churned
100073,34,Female,22,66901.4,3,108,Active
100074,53,Female,68,54387.94,1,95,active
100075,3,Female,29,13742.32,0,321,Active
100076,44,Male,40,20464.81,4,286,Active
100077,36,F,45,41167.94,0,303,Active
100078,31,Male,10,10245.42,1,351,Active
100079,36,Male,45,59117.25,0,344,Churned
100080,11,Female,17,59546.87,0,245,Churned
100081,32,Male,2,23270.23,1,75,ACTIVE
100082,39,Male,17,6166.46,1,362,Active
100083,52,Male,38,74174.71,0,336,Churned
100084,28,Male,37,19553.94,0,137,Active
100085,25,Male,63,5999.34,0,222,Active
100086,28,Male,5,25417.41,2,204,active
100087,45,Female,25,72706.24,0,61,Churned
100088,38,M,22,59676.64,4,353,Active
100089,28,Male,63,36544.65,0,262,Active
100090,41,M,35,23594.45,4,301,Active
100091,36,Male,55,32324.65,1,65,Active
100092,46,Male,20,2285.06,0,37,active
100093,26,Male,5,54159.42,0,346,Active
100094,31,Female,39,8373.68,3,234,Churned
100095,30,Female,63,39408.78,5,201,active
100096,17,Female,32,42872.53,5,102,Churned
100097,38,Female,63,1125.04,0,110,active
100098,38,Female,40,73511.02,0,50,Active
100099,35,Female,17,23358.29,0,379,Active
100100,32,F,32,6714.59,0,327,Active
100101,18,Male,23,64224.75,0,367,Churned
100102,29,Male,60,12244.49,1,287,Churned
100103,30,Female,56,2846.68,1,160,Churned
100104,25,Female,9,37607.11,2,371,Active
100105,33,Male,69,10613.86,0,304,Churned
100106,39,Male,62,73699.31,0,211,Churned
100107,57,Female,64,1770.41,0,145,Churned
100108,37,Female,22,4788.6,3,189,Churned
100109,38,Male,32,62663.01,4,185,Active
100110,34,F,47,18741.63,0,313,Active
100111,11,Female,2,68458.16,0,249,ACTIVE
100112,-5,Female,52,24024.14,0,161,active
100113,35,Female,14,6163.92,1,147,Active
100114,64,F,37,1783.79,0,271,Active
100115,32,Male,27,21909.98,0,163,Churned
100116,38,Male,24,36056.06,0,177,Active
100117,34,Female,64,1075.19,2,230,Active
100118,20,Female,70,44001.93,0,164,Active
100119,48,Male,26,25690.96,1,224,Active
100120,44,,54,29871.36,1,224,Active
100121,44,Female,15,20344.41,3,232,Active
100122,24,Male,29,40149.35,0,54,ACTIVE
100123,51,Male,28,18029.07,0,36,active
100124,18,Male,59,10976.83,3,53,Active
100125,42,Female,21,66907.88,0,188,Active
100126,61,,10,29901.07,0,74,Active
100127,23,Female,4,6692.85,0,300,Active
100128,28,,62,18043.88,2,289,Active
100129,36,M,4,23935.78,0,311,Churned
100130,28,Female,6,57953.83,1,44,Active
100131,16,Female,16,2646.91,0,51,Churned
100132,35,Female,38,36390.46,0,99,Active
100133,22,Female,49,31169.24,1,342,Active
100134,40,Male,61,72661.63,1,51,active
100135,23,Female,65,14325.55,0,135,Active
100136,53,Male,50,,0,213,ACTIVE
100137,25,M,17,15962.57,1,385,Active
100138,31,M,28,41583.23,0,141,Active
100139,44,Male,44,42074.68,0,304,Active
100140,20,Male,12,6575.66,2,383,Active
100141,37,Female,70,34777.4,2,114,ACTIVE
100142,50,Female,71,35125.55,0,239,Churned
100143,15,Male,3,24616.11,0,340,active
100144,37,Female,49,21509.73,0,175,Churned
100145,38,Male,21,17598.05,2,47,Active
100146,44,Male,8,1439.64,2,266,Active
100147,20,Male,64,1134.41,0,26,Active
100148,19,Male,59,44644.25,3,50,Churned
100149,41,Female,30,22568.33,5,129,Active
100150,38,,32,13423.76,5,365,Active
100151,38,Female,20,51670.41,5,319,ACTIVE
100152,39,Female,16,40138.94,3,145,Churned
100153,26,Male,25,68706.91,0,145,Active
100154,37,Female,60,62495.25,0,167,Active
100155,38,Male,45,,3,43,Churned
100156,26,Female,9,10367.06,0,41,active
100157,999,F,51,50290.57,0,15,Active
100158,40,Male,61,52350.56,0,129,active
100159,20,Female,40,57486.61,2,58,Active
100160,42,Male,61,20471.82,0,54,CHURNED
100161,23,Male,67,48382.02,0,224,Churned
100162,44,Male,15,46752.61,1,203,CHURNED
100163,48,Male,53,29512.94,5,133,Churned
100164,25,Male,4,50099.52,0,62,Active
100165,46,Male,23,7415.47,1,243,Active
100166,39,Female,27,,0,210,Churned
100167,44,Male,37,45845.15,0,242,Active
100168,57,Female,43,16586.21,0,383,Active
100169,32,F,37,61547.81,3,210,Active
100170,25,Female,29,65706.64,4,215,Active
100171,24,Male,29,16575.81,1,244,Active
100172,25,Male,49,6621.12,0,71,CHURNED
100173,34,M,51,45664.58,2,302,CHURNED
100174,39,Female,50,36513.9,0,90,active
100175,38,Female,28,32641.97,0,156,Churned
100176,44,Male,5,57314.62,2,378,CHURNED
100177,35,Female,56,72755.04,2,84,Churned
100178,52,Male,64,36347.12,3,151,CHURNED
100179,31,F,17,1455.48,1,160,Active
100180,67,F,55,45123.77,3,82,active
100181,42,Male,9,49393.47,0,289,Active
100182,24,Female,68,62273.35,0,186,Active
100183,22,Male,16,15756.12,3,89,Active
100184,40,Female,16,39800.24,0,160,Active
100185,32,M,13,34087.73,0,370,Churned
100186,43,Female,63,50168.59,2,50,Active
100187,-5,Male,41,,3,179,Churned
100188,34,Male,53,66416.96,0,220,Active
100189,24,M,68,38825.65,0,205,Active
100190,16,Female,9,65901.36,2,19,Churned
100191,29,Female,51,26177.55,2,3,Active
100192,45,Male,48,49360.64,3,116,Active
100193,37,Male,49,71797.66,1,347,Active
100194,20,,18,70810.06,0,299,Active
100195,37,Female,10,70863.6,1,157,ACTIVE
100196,39,Female,54,4178.07,0,241,Active
100197,24,Female,15,30823.18,0,108,Active
100198,36,Female,11,5497.81,0,300,Active
100199,35,Male,40,23901.3,0,52,Active
100200,21,Male,47,13918.78,0,353,Active
100201,39,Female,20,46890.17,0,28,ACTIVE
100202,41,Female,22,58775.22,1,212,Active
100203,47,Female,48,38987.68,0,109,active
100204,47,F,16,59865.01,0,310,Active
100205,18,Male,5,1948.18,1,258,Active
100206,23,Male,65,61715.25,0,370,ACTIVE
100207,41,,21,14198.66,1,220,Active
100208,41,Female,61,35109.26,2,17,Active
100209,41,Female,55,33751.34,3,240,ACTIVE
100210,81,Female,24,65613.51,0,212,CHURNED
100211,41,Female,23,72482.46,2,284,Churned
100212,48,Male,11,19878.95,1,284,Active
100213,46,Female,47,5988.57,1,180,Churned
100214,42,M,2,49138.61,4,272,Active
100215,31,Female,70,38210.2,1,85,Churned
100216,44,Female,53,42862.18,0,261,Active
100217,25,Male,11,4424.0,2,301,CHURNED
100218,32,Male,15,58372.93,5,210,Active
100219,29,Male,12,18194.15,4,308,Active
100220,35,Male,36,25785.32,5,62,Active
100221,62,,23,17898.17,0,5,Active
100222,12,Female,27,70999.9,0,107,Active
100223,43,Female,14,13485.41,0,11,Active
100224,15,Female,54,55191.61,0,342,Churned
100225,29,Male,27,19185.3,0,215,Churned
100226,48,,21,32444.05,3,219,Churned
100227,35,Male,49,,1,387,Active
100228,22,Male,62,8442.68,1,179,Active
100229,26,Female,44,66220.58,0,316,Active
100230,43,M,44,71007.69,0,66,Active
100231,26,F,61,52668.82,2,185,CHURNED
100232,37,Male,42,1737.2,1,17,Active
100233,35,F,23,61739.1,1,387,ACTIVE
100234,27,Male,1,66288.12,0,387,CHURNED
100235,60,Male,36,73589.13,0,40,Active
100236,42,M,55,63109.37,0,336,Active
100237,10,M,16,33973.44,0,76,Churned
100238,37,Female,18,51960.08,1,319,Active
100239,27,Female,38,36899.51,0,246,Active
100240,45,M,67,27123.36,5,51,Active
100241,25,Female,20,47355.56,1,129,Active
100242,33,F,19,57967.6,1,307,ACTIVE
100243,41,Female,13,48056.66,0,260,Active
100244,45,,17,62166.8,0,209,Active
100245,20,,30,14051.75,1,211,Churned
100246,30,Male,43,28653.4,4,132,Active
100247,29,M,48,24131.35,0,84,Churned
100248,27,Female,43,15365.41,1,49,CHURNED
100249,56,Male,66,33794.9,0,246,Active
100250,39,Female,53,71142.59,2,39,Active
100251,19,Male,34,40812.61,1,145,Active
100252,46,Female,71,22193.96,0,143,Active
100253,999,M,13,27200.49,1,247,Active
100254,47,Male,56,46367.6,5,361,Churned
100255,16,Female,59,27103.26,1,156,CHURNED
100256,29,F,32,40837.66,0,16,Churned
100257,50,Female,54,21287.83,0,390,Churned
100258,26,Male,2,26598.91,5,348,Churned
100259,40,Female,37,53223.86,1,281,Active
100260,44,Female,33,44261.76,0,39,Active
100261,23,Female,1,7918.03,0,145,Churned
100262,34,M,28,73015.51,5,46,Active
100263,-3,Female,17,4650.93,1,372,Churned
100264,22,M,57,7137.53,0,309,Active
100265,31,Female,70,52902.57,0,370,Active
100266,20,Male,52,53393.34,4,307,Churned
100267,54,Female,44,2401.23,2,20,Churned
100268,17,Female,47,48563.79,0,343,Active
100269,29,Female,13,3461.24,1,133,Churned
100270,36,Male,30,72096.98,0,318,Active
100271,52,Male,66,52514.55,2,359,Active
100272,17,Male,53,14806.78,0,268,Churned
100273,48,Male,18,12699.75,0,81,Churned
100274,35,Female,28,43155.01,0,158,Active
100275,23,Male,4,47880.39,0,224,Active
100276,40,Female,42,62511.58,0,2,Active
100277,37,Male,6,67845.77,0,125,Active
100278,27,Male,9,30047.47,0,241,CHURNED
100279,35,Female,20,63462.28,3,117,ACTIVE
100280,30,Male,38,41136.12,3,387,Churned
100281,36,F,68,35823.08,0,264,Churned
100282,42,Male,50,52723.83,1,37,Churned
100283,54,Female,60,8636.43,2,311,Churned
100284,20,M,13,20638.6,0,216,Active
100285,60,Female,42,61440.44,0,49,Active
100286,11,Male,68,38301.83,1,217,Churned
100287,33,Female,25,68195.21,0,59,Active
100288,42,Female,31,7564.08,1,60,Churned
100289,38,,12,24192.55,1,345,CHURNED
100290,27,F,64,27310.69,0,78,Churned
100291,32,Male,61,32281.3,1,119,Active
100292,29,,53,74024.68,0,356,Churned
100293,27,Male,26,23989.04,0,319,Churned
100294,45,Male,61,39382.5,2,127,Active
100295,39,M,10,40669.28,2,207,Active
100296,26,Male,12,58039.05,0,160,Active
100297,45,Male,22,39322.31,0,322,Churned
100298,38,Male,53,45824.57,2,85,ACTIVE
100299,44,Female,21,56746.28,3,4,Churned
100300,42,Female,35,8483.77,5,157,Active
100301,25,Female,71,72296.94,0,177,Active
100302,28,Male,27,63626.51,0,349,Active
100303,43,Female,60,29769.17,4,279,Churned
100304,42,F,47,54902.9,0,387,Active
100305,34,M,66,57412.06,0,310,Active
100306,36,Male,15,,0,252,Active
100307,50,,24,14935.45,0,80,Active
100308,27,Female,10,,0,44,Active
100309,999,Male,24,3467.2,0,218,Churned
100310,32,Male,57,9552.86,5,199,Active
100311,32,Male,34,58428.96,1,180,Active
100312,48,Female,41,,0,208,ACTIVE
100313,44,Male,40,44840.3,1,194,Active
100314,44,Female,11,44044.76,1,12,Active
100315,50,Male,1,56463.85,3,205,Active
100316,35,F,30,68050.28,0,389,Active
100317,43,Male,43,32162.52,1,336,Churned
100318,31,F,26,9496.76,0,126,Active
100319,38,F,53,63085.95,1,348,Active
100320,33,Male,47,26281.67,1,72,Active
100321,36,Female,9,,0,220,Active
100322,42,Male,9,,1,302,Churned
100323,25,F,1,43778.21,2,72,Active
100324,60,Female,71,36094.22,0,349,Active
100325,22,Male,44,64625.0,0,121,Active
100326,20,Male,59,21144.71,0,274,Active
100327,48,Male,56,1979.41,1,300,Churned
100328,44,F,51,24936.69,0,43,Active
100329,42,Female,16,1718.24,3,208,Active
100330,42,M,38,41225.75,0,214,Active
100331,34,Male,11,28990.37,0,335,Churned
100332,24,Male,25,61231.76,1,77,Active
100333,35,,59,60021.32,0,150,Churned
100334,26,Male,29,33163.25,1,252,Active
100335,46,F,40,17019.91,0,60,Active
100336,33,Male,8,32259.81,0,213,Active
100337,25,Male,6,48457.51,3,63,Active
100338,31,Female,45,15075.24,0,280,Active
100339,39,,53,58205.45,0,193,Active
100340,28,,21,25461.46,0,29,Active
100341,25,Male,57,69981.1,2,385,CHURNED
100342,37,Male,6,38878.42,0,380,CHURNED
100343,37,Female,63,63687.36,0,1,Active
100344,28,Female,6,46576.05,0,73,Active
100345,29,Female,53,42040.54,0,277,Active
100346,37,Male,4,51477.63,2,206,Churned
100347,17,,9,61050.34,2,156,ACTIVE
100348,18,Female,69,48693.56,99,146,Active
100349,26,M,4,59995.81,0,353,Active
100350,32,Female,58,,0,52,Active
100351,38,Female,37,21536.22,0,322,Active
100352,52,,71,17999.49,0,115,Active
100353,45,Female,6,60074.44,2,226,Churned
100354,33,M,51,7373.51,5,88,Churned
100355,34,,50,59893.88,0,62,Churned
100356,22,Female,14,29789.13,0,19,CHURNED
100357,34,Female,11,6883.53,0,258,Churned
100358,31,Male,10,32407.54,3,198,Active
100359,38,Male,61,23237.17,1,311,Active
100360,25,Male,13,44804.46,5,79,Active
100361,41,Male,34,35966.97,1,11,Active
100362,53,Male,60,22961.53,2,144,Churned
100363,33,Male,51,64807.68,0,244,Active
100364,39,Male,5,31104.79,5,85,CHURNED
100365,43,Female,32,35831.06,1,27,active
100366,30,Male,12,63650.51,1,278,Active
100367,37,Male,52,,0,3,Active
100368,35,Female,13,29852.09,0,259,ACTIVE
100369,36,Female,54,30811.39,0,243,Active
100370,25,Female,54,37691.1,0,43,Churned
100371,35,Female,41,8852.92,99,198,Churned
100372,40,M,48,8596.85,2,89,Active
100373,52,Female,51,31814.78,2,233,Active
100374,46,Female,47,3444.15,2,293,Churned
100375,60,,50,19868.84,0,350,Churned
100376,25,M,46,15887.08,0,39,Churned
100377,45,Female,38,37214.58,0,321,Active
100378,37,Female,13,1825.81,4,163,Churned
100379,61,Male,22,51004.28,0,299,Active
100380,25,Female,2,64313.46,1,21,Active
100381,24,,13,53298.87,1,10,Churned
100382,27,Female,57,61537.78,1,45,Active
100383,9,F,34,48605.41,5,93,Active
100384,28,Female,19,38545.16,0,3,Active
100385,25,,9,17207.6,2,43,CHURNED
100386,36,Female,33,21692.35,1,180,Active
100387,39,Male,27,24510.39,5,297,Active
100388,57,Female,45,3813.31,4,377,Active
100389,46,Male,2,,0,107,Churned
100390,28,Male,57,67622.4,0,205,Active
100391,24,M,57,8975.56,3,265,Churned
100392,40,Male,16,42195.32,0,124,Active
100393,19,Female,6,35605.46,0,113,Active
100394,56,Male,14,51572.64,1,377,Active
100395,49,Male,27,45623.31,1,47,Churned
100396,29,,38,10199.81,1,156,Active
100397,-5,Male,19,49845.75,2,284,Active
100398,51,Female,37,46056.55,2,331,Active
100399,33,Female,4,40310.55,2,236,Active
100400,49,Female,58,30778.06,99,350,Active
100401,15,F,9,,0,139,Churned
100402,27,Female,40,63858.53,0,285,Churned
100403,35,Female,15,44296.29,0,242,Active
100404,35,M,4,,4,249,Active
100405,29,Male,52,,0,204,Active
100406,42,Female,18,52825.14,1,200,CHURNED
100407,22,,53,9679.77,0,57,Churned
100408,33,Female,59,31084.67,4,74,Churned
100409,36,M,54,15187.67,4,119,Churned
100410,41,Female,41,26022.58,2,59,active
100411,43,M,60,2973.52,0,291,active
100412,21,F,4,10378.2,0,292,Active
100413,16,Male,39,34652.01,0,333,Active
100414,50,Male,7,67466.05,0,58,Active
100415,38,Female,23,37303.04,0,219,Active
100416,26,Female,63,34527.73,0,232,Active
100417,53,Male,65,59280.14,0,258,Active
100418,36,Male,41,20819.43,2,284,CHURNED
100419,49,Male,44,8035.09,3,326,Churned
100420,35,,45,16508.37,0,63,Active
100421,59,Female,69,59556.26,5,180,Active
100422,56,Female,51,51101.55,0,316,Active
100423,32,Male,65,7773.46,0,231,Churned
100424,46,Male,54,50364.89,0,346,Active
100425,42,Male,56,69934.81,5,164,Active
100426,51,Male,40,4326.67,0,360,Churned
100427,23,F,58,46614.94,4,210,Churned
100428,43,,15,29058.18,0,372,Churned
100429,47,Male,19,38076.33,3,43,Active
100430,13,Male,10,40085.23,0,133,Active
100431,20,Male,16,58057.41,2,218,Active
100432,-5,Female,43,42218.93,5,203,Active
100433,31,Male,31,,4,178,Churned
100434,43,Male,16,25635.48,3,272,Active
100435,53,Male,28,10319.95,0,52,Active
100436,35,Female,62,51522.19,1,71,Churned
100437,54,Female,20,1035.68,3,3,Active
100438,18,Female,35,25325.07,0,89,Churned
100439,14,Male,59,17135.25,2,394,Active
100440,34,F,9,29751.47,0,51,Active
100441,39,,10,24033.83,0,160,Churned
100442,34,Male,45,53112.06,1,133,ACTIVE
100443,10,Male,15,20255.25,0,247,active
100444,33,Female,30,42495.53,0,374,ACTIVE
100445,19,Male,48,34727.01,0,171,Active
100446,999,Female,40,60278.26,1,211,Active
100447,39,Female,44,32678.84,2,396,Churned
100448,23,Female,46,64926.83,0,159,Active
100449,28,Male,6,1010.79,5,150,Active
100450,22,Female,24,45757.89,0,59,Churned
100451,34,,7,1725.72,2,308,Churned
100452,46,Male,6,53831.14,0,47,Churned
100453,23,Female,33,18384.26,0,361,Active
100454,41,Male,38,29118.61,1,305,Active
100455,28,Male,44,29152.38,1,312,Active
100456,25,Female,17,63635.26,2,31,Churned
100457,33,Male,31,8554.86,3,247,Active
100458,22,Male,37,50350.37,0,187,Active
100459,28,Male,11,73613.01,2,235,Churned
100460,20,Female,5,2656.45,0,326,Active
100461,58,Female,64,72476.17,3,332,active
100462,35,Male,3,2361.95,1,171,ACTIVE
100463,26,Female,56,63245.06,0,81,active
100464,37,Male,63,72132.09,1,330,Churned
100465,33,Female,38,74484.03,4,365,Active
100466,32,Female,54,,0,5,Active
100467,42,Female,2,65154.86,0,4,CHURNED
100468,44,,2,10053.13,1,143,Active
100469,28,F,12,32478.44,0,386,Active
100470,28,Male,40,23790.15,1,312,Active
100471,31,F,2,30243.1,0,136,Active
100472,7,Male,57,52946.58,4,272,CHURNED
100473,16,,47,7473.53,2,255,Active
100474,51,Male,36,74864.13,4,212,Active
100475,54,Male,4,47994.97,0,280,Active
100476,32,Male,24,65640.3,0,251,Active
100477,41,Male,62,62397.47,0,311,Churned
100478,38,Female,2,57683.82,1,182,active
100479,71,F,15,3902.54,4,209,Active
100480,48,Female,49,39218.56,3,325,Active
100481,33,Female,35,25282.98,1,206,Active
100482,23,Female,47,9357.49,2,238,active
100483,15,Male,24,26381.28,5,316,Churned
100484,37,Male,60,48715.42,3,159,Active
100485,25,Male,48,18066.36,1,20,CHURNED
100486,17,Male,23,33900.06,1,54,Active
100487,27,Male,12,30932.57,0,393,Active
100488,22,Male,41,4882.26,2,244,Active
100489,55,Male,29,47478.11,3,162,Active
100490,45,Male,70,46794.67,0,204,active
100491,34,F,51,72514.67,0,232,Active
100492,52,Male,23,23052.39,2,336,Churned
100493,35,Female,31,32002.38,1,193,Active
100494,24,Female,21,30869.18,1,144,Active
100495,53,Female,24,69061.05,0,326,Active
100496,41,Male,9,31240.05,1,212,Active
100497,22,Male,22,33764.55,1,390,Churned
100498,32,Male,4,19673.5,0,291,Active
100499,24,Male,3,1086.44,5,105,Active
100500,18,Male,28,9173.35,1,131,Churned
100501,46,Female,15,53087.8,3,277,Active
100502,57,Female,8,₹51504.67,0,391,Active
100503,18,Female,48,24867.26,2,334,Churned
100504,41,Female,52,36002.46,1,278,Churned
100505,27,Male,55,23006.0,0,142,Churned
100506,29,M,37,55087.81,0,345,Churned
100507,27,Male,4,63344.95,0,67,Active
100508,24,Female,55,67533.79,0,389,Active
100509,35,Female,12,13866.48,0,197,Churned
100510,-5,Female,19,52431.24,1,371,Active
100511,38,Male,57,72262.35,0,59,Active
100512,34,Female,37,49145.27,3,234,Active
100513,32,Male,7,26972.09,1,393,Churned
100514,24,Male,55,,0,176,Churned
100515,28,Male,28,51943.53,0,102,CHURNED
100516,-5,Male,37,30381.5,4,37,Churned
100517,41,Female,61,8695.33,4,324,Active
100518,23,M,39,45892.83,0,85,Active
100519,36,Male,23,60358.42,1,24,Churned
100520,44,F,52,74820.66,5,380,Active
100521,14,,11,17506.31,99,199,Churned
100522,41,,66,52828.78,0,126,ACTIVE
100523,27,M,13,3075.2,1,305,Active
100524,41,Male,41,72767.07,2,256,Active
100525,25,Male,49,1929.77,0,392,CHURNED
100526,13,Female,15,27550.83,3,75,Active
100527,15,Female,56,6653.81,0,110,Churned
100528,35,M,54,46951.63,0,6,Active
100529,38,,31,26122.98,0,40,Churned
100530,24,Female,61,55237.85,0,337,Active
100531,42,Male,58,36991.98,0,205,Churned
100532,15,Male,60,32035.85,4,365,active
100533,34,Male,53,26790.21,0,145,Churned
100534,20,Female,61,7373.56,0,307,Active
100535,27,Female,42,16157.04,0,2,Active
100536,35,M,29,48293.59,0,158,Churned
100537,24,Female,27,37759.62,1,306,Active
100538,30,F,44,6186.62,2,228,Active
100539,47,Female,5,41252.43,4,199,Churned
100540,28,M,52,5006.56,1,252,CHURNED
100541,45,Male,53,38867.79,0,83,Active
100542,21,M,52,72407.15,0,45,Active
100543,41,Female,38,23743.5,1,199,active
100544,52,Male,44,54539.23,1,175,Active
100545,5,Male,53,56170.85,1,33,Churned
100546,25,F,2,30959.61,1,384,Active
100547,41,Male,54,44903.62,0,354,CHURNED
100548,32,Female,35,35931.41,1,35,Active
100549,39,Male,46,21968.86,0,192,Active
100550,27,Female,55,56850.92,0,85,Active
100551,36,M,11,53009.17,0,344,Active
100552,33,Male,29,67640.62,1,101,ACTIVE
100553,49,Female,69,46741.34,0,316,Active
100554,38,,63,29765.29,0,209,Active
100555,39,Female,47,53836.56,0,29,Active
100556,30,F,7,46808.68,0,274,Active
100557,29,Female,64,46629.45,99,186,Churned
100558,29,Male,64,63887.99,3,48,active
100559,39,Female,12,68374.67,3,267,Active
100560,29,Female,12,14337.88,1,387,Churned
100561,38,Male,36,24239.72,5,170,Active
100562,59,Male,29,49122.62,2,146,active
100563,45,Male,11,42234.37,0,16,Active
100564,31,Female,53,₹49272.14,1,297,Churned
100565,49,M,70,33043.08,1,43,Active
100566,30,Male,47,31520.49,1,347,ACTIVE
100567,10,Female,33,9706.39,3,287,Active
100568,22,F,67,47149.97,1,284,Active
100569,12,Male,43,14008.14,2,51,Churned
100570,30,Female,18,50655.6,0,27,Active
100571,35,,53,72563.35,4,9,ACTIVE
100572,55,,39,19974.55,0,377,Churned
100573,38,Male,34,11519.27,99,380,Active
100574,32,Male,37,2788.97,1,316,Active
100575,44,Male,41,29033.21,0,252,Active
100576,8,Female,49,16881.22,0,233,Churned
100577,37,Female,10,37397.6,0,219,CHURNED
100578,44,Female,40,39798.65,2,57,Churned
100579,17,Male,18,26850.25,0,175,Churned
100580,48,Male,25,56493.06,0,114,Active
100581,39,Female,41,67955.69,0,218,Churned
100582,30,Female,36,16652.71,0,246,active
100583,42,Female,2,62886.04,0,68,Active
100584,62,Female,49,10707.9,1,307,Active
100585,37,Male,67,17923.96,99,58,Active
100586,37,Male,53,42544.76,3,304,Churned
100587,29,Male,19,23687.03,3,315,Active
100588,24,Male,26,4086.6,1,76,Active
100589,44,Male,54,22820.54,0,303,Active
100590,24,Male,51,67960.39,0,399,Active
100591,35,Male,25,13892.51,0,111,Active
100592,29,Male,17,57517.57,0,112,Churned
100593,40,Female,61,54448.87,0,222,Active
100594,39,Male,46,8860.64,3,206,Churned
100595,47,Female,55,25378.78,2,72,Churned
100596,28,Female,50,15012.37,5,377,Active
100597,31,Female,11,2713.11,0,351,Active
100598,23,,12,13805.01,1,2,Active
100599,29,Male,40,15916.77,2,335,Active
100600,39,Female,48,13282.54,0,189,Active
100601,44,,56,7741.19,0,40,Churned
100602,23,M,8,39946.58,3,171,Active
100603,45,Male,14,24875.29,0,48,Churned
100604,51,Male,56,68210.45,4,200,Active
100605,39,Male,54,14853.8,0,57,Churned
100606,57,Female,17,45611.83,3,196,Churned
100607,25,Female,45,67645.91,0,12,ACTIVE
100608,20,Male,5,4492.03,0,324,Active
100609,13,Female,3,39204.53,0,179,Churned
100610,-5,Female,9,34349.49,1,74,Active
100611,42,Female,20,69729.62,0,29,Churned
100612,34,M,21,50118.59,3,92,Active
100613,38,Female,33,26837.94,2,285,Active
100614,21,Male,5,53652.57,0,339,Active
100615,64,Female,24,44116.4,1,371,Active
100616,36,Male,63,,0,107,Churned
100617,36,Female,26,59108.4,0,247,Churned
100618,43,,33,50444.56,2,256,Active
100619,40,M,18,1400.81,0,397,Active
100620,37,Female,18,65019.96,4,98,Active
100621,25,Male,38,30384.8,0,46,ACTIVE
100622,40,Male,33,48763.12,1,20,active
100623,999,Female,27,30360.86,3,59,Active
100624,51,Male,49,66220.79,0,240,Active
100625,54,Female,50,49161.82,1,376,Churned
